"chr","pos","neg_log10p_model1","neg_log10p_model2"
"chrX",316075,1.04443765190722,0.923175899630515
"chrX",336075,0.982035093909268,0.887781257379784
"chrX",356075,1.17153172140642,1.08149160428009
"chrX",376075,1.03787601820624,0.951541839278337
"chrX",396075,0.869406083492436,0.78913515614245
"chrX",416075,0.79329180144503,0.676056958835291
"chrX",436075,0.820045086533239,0.697582367833933
"chrX",456075,0.723986512501845,0.609719230065127
"chrX",476075,0.643303171025405,0.538348477758292
"chrX",496075,0.574921615757585,0.479271474824951
"chrX",516075,0.525004633405755,0.434075747950783
"chrX",536075,0.506134797340084,0.417261079194511
"chrX",556075,0.506530915417983,0.416768774915926
"chrX",576075,0.451220698093669,0.36655135359946
"chrX",596075,0.404272817381597,0.324910670060977
"chrX",616075,0.32806251731228,0.254390782854426
"chrX",636075,0.375224000037318,0.299610795951738
"chrX",656075,0.442902931280197,0.358761132408619
"chrX",676075,0.528498572996136,0.431146556046176
"chrX",696075,0.39399294369108,0.313778513683633
"chrX",716075,0.36034590641995,0.283056344842655
"chrX",736075,0.337673717448561,0.262399277347638
"chrX",756075,0.326176609066517,0.251841263053877
"chrX",776075,0.342336310657194,0.267906717639836
"chrX",796075,0.347142121481562,0.272588227100361
"chrX",816075,0.33892189486751,0.272888454319762
"chrX",836075,0.396786825930135,0.321501292277741
"chrX",856075,0.40763420026044,0.333903296077669
"chrX",876075,0.417644198560616,0.342791261429453
"chrX",896075,0.372172753527966,0.295472704501679
"chrX",916075,0.479262608941635,0.397414017928385
"chrX",936075,0.486814341481312,0.404402676213136
"chrX",956075,0.463965799256582,0.383435192625241
"chrX",976075,0.519973844934467,0.433477781717525
"chrX",996075,0.595730316882741,0.507736250824688
"chrX",1016075,0.678237273161765,0.593035440559665
"chrX",1036075,0.642338696859994,0.560074411488718
"chrX",1056075,0.585568462249403,0.505334401100963
"chrX",1076075,0.680901715384149,0.601182471599726
"chrX",1096075,0.699805517625396,0.616709865402219
"chrX",1116075,0.743145601805153,0.647593399287927
"chrX",1136075,0.75130774160509,0.664812655270316
"chrX",1156075,0.737189025594115,0.651265357302686
"chrX",1176075,0.713188592315064,0.622559921306771
"chrX",1196075,0.727496058389752,0.639521946305499
"chrX",1216075,0.860726805617825,0.743772593511076
"chrX",1236075,0.695831338099016,0.60771410349569
"chrX",1256075,0.695959715855517,0.604708226082695
"chrX",1276075,0.717118434491817,0.632813271775767
"chrX",1296075,0.732197459999062,0.662032712175294
"chrX",1316075,0.64256798264012,0.568192414727353
"chrX",1336075,0.650043376416099,0.575441146887716
"chrX",1356075,0.650458182898935,0.574347195670478
"chrX",1376075,0.570286119617524,0.498456247533539
"chrX",1396075,0.521591163568531,0.452472212379725
"chrX",1416075,0.526852764614645,0.455315525016916
"chrX",1436075,0.487639229786152,0.419330641760673
"chrX",1456075,0.495888087030971,0.426114579233903
"chrX",1476075,0.540840798219971,0.449415303306879
"chrX",1496075,0.550354894722423,0.462440381544093
"chrX",1516075,0.560487479160124,0.462001725648546
"chrX",1536075,0.543852181812021,0.445221174375231
"chrX",1556075,0.682953397958437,0.571677301119093
"chrX",1576075,0.601209189914287,0.496029215465556
"chrX",1596075,0.63787227092006,0.529995803649672
"chrX",1616075,0.589422277143335,0.4877971805947
"chrX",1636075,0.567101093847877,0.467375636155652
"chrX",1656075,0.526908109044094,0.428154113678507
"chrX",1676075,0.542598407798976,0.448341925336611
"chrX",1696075,0.518233304171595,0.427408666550582
"chrX",1716075,0.480203401142775,0.390449215011581
"chrX",1736075,0.421313432061101,0.336187769554912
"chrX",1756075,0.41736511461376,0.329564629418167
"chrX",1776075,0.424322425015946,0.335083231347664
"chrX",1796075,0.393786738084439,0.308493070819813
"chrX",1816075,0.368846943303946,0.28664697578119
"chrX",1836075,0.420835804595066,0.332313894979479
"chrX",1856075,0.500660635830558,0.403750272349935
"chrX",1876075,0.433889946236736,0.350764759510697
"chrX",1896075,0.335861513981197,0.261043657562478
"chrX",1916075,0.261216865630662,0.199232579725351
"chrX",1936075,0.223304596592138,0.167470860521682
"chrX",1956075,0.213141456999671,0.161136790000099
"chrX",1976075,0.219473813317834,0.167692496375809
"chrX",1996075,0.270205096951127,0.211480486785397
"chrX",2016075,0.307719735657294,0.244852517653698
"chrX",2036075,0.280883223970759,0.224766576933103
"chrX",2056075,0.325732236734566,0.27429605462144
"chrX",2076075,0.377415737509148,0.317735865498993
"chrX",2096075,0.429158413743871,0.36004349440214
"chrX",2116075,0.468461862378303,0.39673739919905
"chrX",2136075,0.44132363483402,0.368454604033136
"chrX",2156075,0.452021220183339,0.375621293659867
"chrX",2176075,0.472189109659169,0.391495420880209
"chrX",2196075,0.59520655498702,0.506679057682744
"chrX",2216075,0.52037204236361,0.440931585945093
"chrX",2236075,0.44108527571404,0.370847806423294
"chrX",2256075,0.461707344638525,0.386971120247628
"chrX",2276075,0.419941600661968,0.35174313488772
"chrX",2296075,0.386902815362472,0.32464249009741
"chrX",2316075,0.372259922901536,0.307887101764708
"chrX",2336075,0.340336693506521,0.281441179985922
"chrX",2356075,0.271473302923798,0.219425688987289
"chrX",2376075,0.267974906763762,0.225605044295502
"chrX",2396075,0.203239828695858,0.17266251448614
"chrX",2416075,0.198525153991576,0.1691429570839
"chrX",2436075,0.2139883162455,0.171404479450918
"chrX",2456075,0.219309065626818,0.178749329808158
