"","chr","pos","neg_log10p"
"1","chrX",316075,0.923175899630515
"2","chrX",336075,0.887781257379784
"3","chrX",356075,1.08149160428009
"4","chrX",376075,0.951541839278337
"5","chrX",396075,0.78913515614245
"6","chrX",416075,0.676056958835291
"7","chrX",436075,0.697582367833933
"8","chrX",456075,0.609719230065127
"9","chrX",476075,0.538348477758292
"10","chrX",496075,0.479271474824951
"11","chrX",516075,0.434075747950783
"12","chrX",536075,0.417261079194511
"13","chrX",556075,0.416768774915926
"14","chrX",576075,0.36655135359946
"15","chrX",596075,0.324910670060977
"16","chrX",616075,0.254390782854426
"17","chrX",636075,0.299610795951738
"18","chrX",656075,0.358761132408619
"19","chrX",676075,0.431146556046176
"20","chrX",696075,0.313778513683633
"21","chrX",716075,0.283056344842655
"22","chrX",736075,0.262399277347638
"23","chrX",756075,0.251841263053877
"24","chrX",776075,0.267906717639836
"25","chrX",796075,0.272588227100361
"26","chrX",816075,0.272888454319762
"27","chrX",836075,0.321501292277741
"28","chrX",856075,0.333903296077669
"29","chrX",876075,0.342791261429453
"30","chrX",896075,0.295472704501679
"31","chrX",916075,0.397414017928385
"32","chrX",936075,0.404402676213136
"33","chrX",956075,0.383435192625241
"34","chrX",976075,0.433477781717525
"35","chrX",996075,0.507736250824688
"36","chrX",1016075,0.593035440559665
"37","chrX",1036075,0.560074411488718
"38","chrX",1056075,0.505334401100963
"39","chrX",1076075,0.601182471599726
"40","chrX",1096075,0.616709865402219
"41","chrX",1116075,0.647593399287927
"42","chrX",1136075,0.664812655270316
"43","chrX",1156075,0.651265357302686
"44","chrX",1176075,0.622559921306771
"45","chrX",1196075,0.639521946305499
"46","chrX",1216075,0.743772593511076
"47","chrX",1236075,0.60771410349569
"48","chrX",1256075,0.604708226082695
"49","chrX",1276075,0.632813271775767
"50","chrX",1296075,0.662032712175294
"51","chrX",1316075,0.568192414727353
"52","chrX",1336075,0.575441146887716
"53","chrX",1356075,0.574347195670478
"54","chrX",1376075,0.498456247533539
"55","chrX",1396075,0.452472212379725
"56","chrX",1416075,0.455315525016916
"57","chrX",1436075,0.419330641760673
"58","chrX",1456075,0.426114579233903
"59","chrX",1476075,0.449415303306879
"60","chrX",1496075,0.462440381544093
"61","chrX",1516075,0.462001725648546
"62","chrX",1536075,0.445221174375231
"63","chrX",1556075,0.571677301119093
"64","chrX",1576075,0.496029215465556
"65","chrX",1596075,0.529995803649672
"66","chrX",1616075,0.4877971805947
"67","chrX",1636075,0.467375636155652
"68","chrX",1656075,0.428154113678507
"69","chrX",1676075,0.448341925336611
"70","chrX",1696075,0.427408666550582
"71","chrX",1716075,0.390449215011581
"72","chrX",1736075,0.336187769554912
"73","chrX",1756075,0.329564629418167
"74","chrX",1776075,0.335083231347664
"75","chrX",1796075,0.308493070819813
"76","chrX",1816075,0.28664697578119
"77","chrX",1836075,0.332313894979479
"78","chrX",1856075,0.403750272349935
"79","chrX",1876075,0.350764759510697
"80","chrX",1896075,0.261043657562478
"81","chrX",1916075,0.199232579725351
"82","chrX",1936075,0.167470860521682
"83","chrX",1956075,0.161136790000099
"84","chrX",1976075,0.167692496375809
"85","chrX",1996075,0.211480486785397
"86","chrX",2016075,0.244852517653698
"87","chrX",2036075,0.224766576933103
"88","chrX",2056075,0.27429605462144
"89","chrX",2076075,0.317735865498993
"90","chrX",2096075,0.36004349440214
"91","chrX",2116075,0.39673739919905
"92","chrX",2136075,0.368454604033136
"93","chrX",2156075,0.375621293659867
"94","chrX",2176075,0.391495420880209
"95","chrX",2196075,0.506679057682744
"96","chrX",2216075,0.440931585945093
"97","chrX",2236075,0.370847806423294
"98","chrX",2256075,0.386971120247628
"99","chrX",2276075,0.35174313488772
"100","chrX",2296075,0.32464249009741
"101","chrX",2316075,0.307887101764708
"102","chrX",2336075,0.281441179985922
"103","chrX",2356075,0.219425688987289
"104","chrX",2376075,0.225605044295502
"105","chrX",2396075,0.17266251448614
"106","chrX",2416075,0.1691429570839
"107","chrX",2436075,0.171404479450918
"108","chrX",2456075,0.178749329808158
"109","chrX",2476075,0.158080591679191
"110","chrX",2496075,0.129361426855615
"111","chrX",2516075,0.131506898542919
"112","chrX",2536075,0.12771656462291
"113","chrX",2556075,0.107191965189989
"114","chrX",2576075,0.0805897199271116
"115","chrX",2596075,0.0922152868416657
"116","chrX",2616075,0.101350402730117
"117","chrX",2636075,0.113635633314697
"118","chrX",2656075,0.130464174439632
"119","chrX",2676075,0.134467142327786
"120","chrX",2696075,0.138834516840265
"121","chrX",2716075,0.124137950506276
"122","chrX",2736075,0.134753028757345
"123","chrX",2756075,0.205196270922027
"124","chrX",2776075,0.192219778946157
"125","chrX",2796075,0.191830886806692
"126","chrX",2816075,0.185858195747486
"127","chrX",2836075,0.171069985747571
"128","chrX",2856075,0.16980814881504
"129","chrX",2876075,0.183627087575946
"130","chrX",2896075,0.239013033726645
"131","chrX",2916075,0.239711905570006
"132","chrX",2936075,0.22443726244276
"133","chrX",2956075,0.247719001788212
"134","chrX",2976075,0.240300278595751
"135","chrX",2996075,0.159469218250441
"136","chrX",3016075,0.122230319067773
"137","chrX",3036075,0.0993002287369234
"138","chrX",3056075,0.0647300512104632
"139","chrX",3076075,0.0333922512310534
"140","chrX",3096075,0.0265782368684354
"141","chrX",3116075,0.0245714211329508
"142","chrX",3136075,0.014531432388349
"143","chrX",3156075,0.0145905342069971
"144","chrX",3176075,0.0124680998103928
"145","chrX",3196075,0.0115919258174221
"146","chrX",3216075,0.00339689871155087
"147","chrX",3236075,0.00199660448761027
"148","chrX",3256075,0.00345711892971705
"149","chrX",3276075,0.00544759248523545
"150","chrX",3296075,0.00711911397663399
"151","chrX",3316075,0.00823851942631131
"152","chrX",3336075,0.00946492420472258
"153","chrX",3356075,0.0100984350265639
"154","chrX",3376075,0.0126959913629363
"155","chrX",3396075,0.00922239309903347
"156","chrX",3416075,0.00733641680617708
"157","chrX",3436075,0.0055179355368575
"158","chrX",3456075,0.00380073566485846
"159","chrX",3476075,0.00373344635825233
"160","chrX",3496075,0.0044798468608971
"161","chrX",3516075,0.00324460620988042
"162","chrX",3536075,0.00738846077715625
"163","chrX",3556075,0.0111224138419446
"164","chrX",3576075,0.0130695261220929
"165","chrX",3596075,0.0169503059480402
"166","chrX",3616075,0.0230094757579067
"167","chrX",3636075,0.0326270446667941
"168","chrX",3656075,0.0314037824084569
"169","chrX",3676075,0.0507619253657693
"170","chrX",3696075,0.103065517839874
"171","chrX",3716075,0.05215096736662
"172","chrX",3736075,0.0748114785404899
"173","chrX",3756075,0.0470123788704903
"174","chrX",3776075,0.132157858550343
"175","chrX",3796075,0.230947292214125
"176","chrX",3816075,0.225420409322966
"177","chrX",3836075,0.274396584231062
"178","chrX",3856075,0.336138245131626
"179","chrX",3876075,0.332939522422229
"180","chrX",3896075,0.362932147795689
"181","chrX",3916075,0.438801935672971
"182","chrX",3936075,0.484322107781111
"183","chrX",3956075,0.469267679308605
"184","chrX",3976075,0.49816514827783
"185","chrX",3996075,0.41314407509687
"186","chrX",4016075,0.465551834464373
"187","chrX",4036075,0.463747666245437
"188","chrX",4056075,0.591754744325787
"189","chrX",4076075,0.584123099097051
"190","chrX",4096075,0.695274901456083
"191","chrX",4116075,0.607899531050401
"192","chrX",4136075,0.51950642284329
"193","chrX",4156075,0.581335906291173
"194","chrX",4176075,0.517020441442015
"195","chrX",4196075,0.531813805008417
"196","chrX",4216075,0.623308609997916
"197","chrX",4236075,0.634587376534328
"198","chrX",4256075,0.585568708454409
"199","chrX",4276075,0.651848345581466
"200","chrX",4296075,0.696338019051036
"201","chrX",4316075,0.677435863197631
"202","chrX",4336075,0.680923088832309
"203","chrX",4356075,0.727127712143057
"204","chrX",4376075,0.760465269995012
"205","chrX",4396075,0.77507598462195
"206","chrX",4416075,0.638136174100434
"207","chrX",4436075,0.678435133861792
"208","chrX",4456075,0.725430771284103
"209","chrX",4476075,0.688004135169934
"210","chrX",4496075,0.647550322000152
"211","chrX",4516075,0.623579758834633
"212","chrX",4536075,0.682882837273018
"213","chrX",4556075,0.762520643350088
"214","chrX",4576075,0.703137031026434
"215","chrX",4596075,0.6830246370308
"216","chrX",4616075,0.66170070423635
"217","chrX",4636075,0.702079621243301
"218","chrX",4656075,0.615664714361168
"219","chrX",4676075,0.575332654374576
"220","chrX",4696075,0.595771154545194
"221","chrX",4716075,0.519060864702055
"222","chrX",4736075,0.434137446622002
"223","chrX",4756075,0.542886204772117
"224","chrX",4776075,0.440433326131822
"225","chrX",4796075,0.481196370058458
"226","chrX",4816075,0.398587111300907
"227","chrX",4836075,0.436398531770828
"228","chrX",4856075,0.287621047011112
"229","chrX",4876075,0.29611303403549
"230","chrX",4896075,0.291259504513511
"231","chrX",4916075,0.336479382873609
"232","chrX",4936075,0.340761404177384
"233","chrX",4956075,0.421960259544519
"234","chrX",4976075,0.549897496346212
"235","chrX",4996075,0.696878966527242
"236","chrX",5016075,0.775527032147353
"237","chrX",5036075,0.827622999849883
"238","chrX",5056075,0.790924049333846
"239","chrX",5076075,0.670278205514562
"240","chrX",5096075,0.482094057703197
"241","chrX",5116075,0.372604294841565
"242","chrX",5136075,0.291772162862634
"243","chrX",5156075,0.335819247557112
"244","chrX",5176075,0.269744149675625
